889.477,488.255,887.353,489.361
894.541,539.193,887.353,489.361
887.353,489.361,813.496,495.268
889.477,488.255,946.78,501.667
910.54,402.749,889.477,488.255
813.496,495.268,814.04,474.312
796.156,427.846,814.04,474.312
814.04,474.312,869.878,410.035
813.496,495.268,805.146,505.939
833.007,389.657,869.878,410.035
869.878,410.035,910.54,402.749
910.54,402.749,924.89,390.844
-1357.84,-399.929,-1876.69,-403.819
-1357.84,-399.929,-1149.74,-378.688
-950.942,-527.217,-1357.84,-399.929
-2459.29,-370.351,-1876.69,-403.819
-1876.69,-403.819,-961.954,-626.112
-961.954,-626.112,-924.008,-578.251
-961.954,-626.112,-958.379,-632.117
-922.614,-578.053,-924.008,-578.251
-924.008,-578.251,-950.942,-527.217
-950.942,-527.217,-928.031,-508.953
213.508,80.0998,134.433,68.2994
109.123,77.514,134.433,68.2994
134.433,68.2994,153.981,51.9935
213.508,80.0998,216.608,85.5271
212.478,40.4753,213.508,80.0998
194.246,33.8004,212.478,40.4753
194.246,33.8004,191.027,27.2932
153.981,51.9935,194.246,33.8004
229.454,26.693,212.478,40.4753
162.429,18.3605,153.981,51.9935
-933.076,71.7731,-1007.24,116.739
-941.41,184.141,-1007.24,116.739
-1007.24,116.739,-1429.38,158.137
-933.076,71.7731,-867.285,76.5335
-952.513,-11.1428,-933.076,71.7731
-968.928,-32.2237,-952.513,-11.1428
-968.928,-32.2237,-938.971,-90.5603
-1000.64,-33.2851,-968.928,-32.2237
-890.556,-29.3219,-952.513,-11.1428
-1000.64,-33.2851,-981.035,-151.225
-25916.9,-191.432,-1000.64,-33.2851
-1429.38,158.137,-80002.9,110.349
-92002.8,155.947,-80002.9,110.349
-80002.9,110.349,-25916.9,-191.432
-1429.38,158.137,-1032.73,244.689
-2459.29,-370.351,-25916.9,-191.432
-817.299,933.56,-763.589,993.406
-817.299,933.56,-755.743,882.399
-833.889,930.271,-817.299,933.56
-761.011,989.771,-763.589,993.406
-763.589,993.406,-733.606,1116.09
-625.7,4056.65,-594.338,6562.38
-398.579,1223.77,-594.338,6562.38
-594.338,6562.38,-683.216,18562.1
-625.7,4056.65,-576.557,1068.91
-733.606,1116.09,-625.7,4056.65
-1041.31,6000,-894.941,1092.23
-930.474,931.217,-894.941,1092.23
-894.941,1092.23,-833.889,930.271
-833.889,930.271,-867.133,904.298
